text,time,impressions,engagements,engagement_rate,retweets,replies,likes,user_profile_clicks,url_clicks,hashtag_clicks,detail_expands,follows,email_tweet,media_views,media_engagements
Acute effects of psychological relaxation...between two physical tasks https://t.co/4YSVh6s8IR @TimMeye85834325 https://t.co/At4rh3O8YT,2016-03-22 12:46 +0000,5591,210,0.037560365,15,1,15,8,52,0,25,1,0,93,93
Executive function deficits in team sport athletes with a history of concussion... https://t.co/GogzD3sEXD https://t.co/MOEh81e4Xk,2016-03-22 12:40 +0000,4716,127,0.026929601,13,0,10,3,32,0,13,0,1,55,55
Running speed â¬†ï¸_plantar load more than % body weight on an AlterGÂ® treadmill https://t.co/tytHnrecEi @RodWhiteley https://t.co/NwIfjGfKVg,2016-03-22 12:34 +0000,9146,663,0.072490706,40,0,49,13,115,0,88,0,1,357,357
#JSSFree Carbohydrate ingestion and soccer skill performance during prolonged intermittent exercise @Clydesdale40 https://t.co/FyTYazQ5NZ,2016-03-20 13:48 +0000,7771,314,0.04040664,21,0,19,8,14,3,28,0,0,221,221
"Influence of â™€â™‚, limb dom. on lower extremity joint mechanics during...land-&amp;-cut manoeuvres https://t.co/166so15mYE https://t.co/Y5FgwZ50El",2016-03-18 13:45 +0000,6227,487,0.078207805,25,0,46,8,104,0,55,0,0,249,249
Characteristics/experiences of interns in S&amp;C https://t.co/RKTXvl1khb @j_d_hughes @PaulRea64657771 @rich_blagrove https://t.co/dUaNF9AJOF,2016-03-18 13:05 +0000,6709,461,0.068713668,19,1,17,9,121,0,93,0,0,201,201
The effects of...fatigue on upper extremity jump shot kinematics/kinetics in team handball https://t.co/Qf40bpSCB2 https://t.co/QK6CH0ST4W,2016-03-17 14:46 +0000,7264,532,0.073237885,10,2,19,6,74,0,10,0,0,411,411
Cartoon abstracts - a new way of visualising academic research. https://t.co/gVEDAM4K3w,2016-03-16 10:54 +0000,4504,207,0.045959147,7,0,7,4,152,0,37,0,0,0,0
What benefits does team sport hold for the workplace? A systematic review https://t.co/nUgGLV6hu4 @andybrinkley,2016-03-16 10:41 +0000,4348,103,0.023689052,10,1,7,5,50,0,30,0,0,0,0
#JSSFree Psychological effects of rapid weight loss and attitudes towards eating among professional jockeys https://t.co/dntzYvFw8m,2016-03-15 13:24 +0000,5384,45,0.008358098,5,0,4,2,30,0,4,0,0,0,0
"#JSSAcceptedToday Grade and speed have greater influence on HR and RPE than ability, sex, and age in alpine skiing",2016-03-14 14:04 +0000,3769,15,0.003979836,1,0,1,5,0,1,7,0,0,0,0
#JSSAcceptedToday Examining Multidimensional Sport-Confidence in Athletes and Non-Athlete Sport Performers,2016-03-14 14:03 +0000,3839,15,0.003907268,1,0,2,2,0,1,9,0,0,0,0
"#JSSAcceptedToday During early â†’ mid adolescence, MVPA is associated with restoring sleep, psych. functioning, mental toughness, male gender",2016-03-14 14:03 +0000,4493,24,0.005341643,1,0,5,6,0,0,12,0,0,0,0
Ref. values for the inc. shuttle_Ÿ_¶_Ÿè_test in patients with CV disease entering cardiac rehab https://t.co/hOk7JB8vOL https://t.co/RVAspChl2p,2016-03-11 16:56 +0000,3962,106,0.026754165,2,0,7,2,16,0,29,1,0,49,49
The influence of golf shaft stiffness on grip and clubhead kinematics https://t.co/OHg7vXmO0z https://t.co/ze7g5fb7uT,2016-03-11 16:48 +0000,5214,200,0.038358266,13,0,9,7,43,0,35,1,0,92,92
Shared mental models &amp; intra-team psychophysiological patterns: ...the juggling paradigm https://t.co/pIfv0j0e03 https://t.co/eD75FP4jM6,2016-03-11 16:42 +0000,3985,72,0.018067754,1,0,8,5,16,0,5,0,0,37,37
The influence of _Ÿ–ê_Ÿè_positions on...injury risk factors...during...female gymnastics https://t.co/CN6Fg83Hpz https://t.co/cdqBKBFGqo,2016-03-11 16:34 +0000,3972,108,0.027190332,6,0,5,4,21,0,11,0,0,61,61
"#JSSAcceptedToday Effects of a kindergarten-based, family-involved intervention on motor performance ability in 3-6 year old children.",2016-03-10 19:50 +0000,5202,69,0.013264129,5,0,13,9,0,8,33,0,1,0,0
#JSSAcceptedToday Sport-based physical activity intervention on body weight in children and adolescents: A meta-analysis.,2016-03-10 19:48 +0000,4548,48,0.01055409,8,0,7,6,0,6,21,0,0,0,0
#JSSAcceptedToday Heart Rate Recovery After Aerobic and Anaerobic Tests: Is There an Influence of Anaerobic Speed Reserve?,2016-03-10 19:47 +0000,4536,70,0.015432099,7,0,14,7,0,6,36,0,0,0,0
#JSSAcceptedToday Validity of a single lactate measure to predict fixed lactate thresholds in athletes.,2016-03-10 19:45 +0000,4199,70,0.016670636,1,0,12,4,0,7,46,0,0,0,0
Effects of 10-week eccentricâ€_training on kinetic parameters during COD in â__ï¸è https://t.co/9OJvgqu7Pi @JSSFootball https://t.co/WrRUdJBAcM,2016-03-10 19:20 +0000,5786,324,0.055997235,13,0,24,10,75,0,53,0,0,149,149
